,TargetLength,SourceLength,TargetLengthIncrease,SampleLength,SampleLengthIncrease,SampleLengthMinusTargetLength,SampleLengthVariance,MaxAccurateLengthDifference,P2RSimilarity,RingForming,RingOpening,NonRing,TanimotoSimilarity,Synthesis,SampleValidity,SampleAccuracy,SampleCount,HasValid,HasAccurate,AccuracyOfValid,MaxIsAccurate,MaxHasAccurate,RankOfAccurate
TargetLength,1,0.9466161163658008,0.3245825711038056,0.968489563071542,0.21968809875606934,-0.18369070688280356,0.17240938554777022,0.028965057363750376,-0.0682214170353899,-0.05915278378075549,0.18864810515975752,-0.1317718243910877,0.6169843029626354,0.13388352406636347,-0.32071766635780347,-0.06958940457161364,0.09222129748091902,,-0.037800104405494944,-0.03540347133911882,-0.01367678566729826,-0.01640927671141486,-0.01564127660720679
SourceLength,0.9466161163658008,1,0.002345639315581289,0.9624153179275882,0.008610964415746445,0.006201140963425861,0.06962048345846077,0.0671022383367714,-0.023578728835135315,-0.04667880497331504,0.008074495788202752,0.018042835775545742,0.6780708215541359,0.1734577420727818,-0.30358826431768243,-0.043259487743576665,0.07217826292066681,,-0.003636841238700196,-0.010830191835051434,0.006995599266387365,0.006541121758435693,-0.0004776040973670982
TargetLengthIncrease,0.3245825711038056,0.002345639315581289,1,0.1804775220472805,0.6562252038110055,-0.5880190160834022,0.3305523638958875,-0.10703512680606511,-0.14244534772961534,-0.04653489333670588,0.5615106062671942,-0.461707433740492,-0.07561560079889808,-0.09363085563829832,-0.10412356392313389,-0.0889429142772945,0.07429729651823748,,-0.10658811123347091,-0.07804727674199713,-0.06295258680568513,-0.07009550444166024,-0.047119199277438115
SampleLength,0.968489563071542,0.9624153179275882,0.1804775220472805,1,0.2798592056087467,0.06691372819993585,0.2004810181779188,0.042911188069573794,-0.03990008087783362,-0.05493474398836468,0.11160817078795161,-0.06726271734645886,0.6422387452619093,0.1364944825213528,-0.33162283679739823,-0.06470989430692733,0.09182609174101823,,-0.02050493759512792,-0.02981500212925254,-0.008380215281143582,-0.01060890019365349,-0.0029712074826483757
SampleLengthIncrease,0.21968809875606934,0.008610964415746445,0.6562252038110055,0.2798592056087467,1,0.2244548923846685,0.4920616513711089,-0.07920742315442228,-0.06356112352942916,-0.037259980440897573,0.38239722959117406,-0.3114422239977089,-0.032258741224501446,-0.11060061782480787,-0.14784982799028212,-0.08533929056705933,0.08295319938764661,,-0.062642824566154,-0.07149395576947246,-0.05558531062294484,-0.06218473748169167,-0.009251637598733728
SampleLengthMinusTargetLength,-0.18369070688280356,0.006201140963425861,-0.5880190160834022,0.06691372819993585,0.2244548923846685,1,0.10056719242206355,0.05332525366518793,0.11582771394018158,0.020157179520424572,-0.3152577308918293,0.26242611676255256,0.06307453174186635,0.0023627203189113743,-0.02401530129571722,0.02338704995976309,-0.007030682095521175,,0.0705041795707689,0.024157201237691342,0.021716219622223042,0.023866776398847843,0.05093499341446037
SampleLengthVariance,0.17240938554777022,0.06962048345846077,0.3305523638958875,0.2004810181779188,0.4920616513711089,0.10056719242206355,1,-0.09007743728145279,-0.037234350154688546,-0.029768674778062224,0.20371784236890436,-0.16059633310504084,0.02820440211930305,-0.05838842141047166,-0.23891627124154813,-0.2671985937252628,0.4051719283476535,,-0.07400375686484993,-0.25318697779785315,-0.1763146109685149,-0.17187867188030262,0.10101955595160148
MaxAccurateLengthDifference,0.028965057363750376,0.0671022383367714,-0.10703512680606511,0.042911188069573794,-0.07920742315442228,0.05332525366518793,-0.09007743728145279,1,-0.010242010640039633,-0.07098538709504414,-0.10103536403161852,0.12564974414485047,0.09629472092992893,0.14228131641100658,0.1532667931514434,0.6301556062920899,-0.2177708026105999,,0.667044560573902,0.638167688849283,0.5763610791903576,0.5895395517252922,0.17898797975375136
P2RSimilarity,-0.0682214170353899,-0.023578728835135315,-0.14244534772961534,-0.03990008087783362,-0.06356112352942916,0.11582771394018158,-0.037234350154688546,-0.010242010640039633,1,-0.09159052388984684,-0.03567486121843973,0.08005437550408384,0.11307881344413959,-0.2686521142133237,0.030533738529823273,-0.018155370795771293,0.01937801436611286,,-0.017435550958115918,-0.025358288105739604,-0.019718768333279818,-0.027999523171241786,0.002163476925805691
RingForming,-0.05915278378075549,-0.04667880497331504,-0.04653489333670588,-0.05493474398836468,-0.037259980440897573,0.020157179520424572,-0.029768674778062224,-0.07098538709504414,-0.09159052388984684,1,-0.04192405746123348,-0.5001201345524299,-0.2938420991890255,0.008667869792405157,-0.20909966468909702,-0.08044514759792888,0.025690076614169468,,-0.11278126807146165,-0.06404080654572417,-0.05679574359500847,-0.05426646176204967,-0.06958631206199768
RingOpening,0.18864810515975752,0.008074495788202752,0.5615106062671942,0.11160817078795161,0.38239722959117406,-0.3152577308918293,0.20371784236890436,-0.10103536403161852,-0.03567486121843973,-0.04192405746123348,1,-0.8442276193338242,-0.05616863036980198,-0.13420595821577053,-0.08347421547089381,-0.09855725385652825,0.07520501589298663,,-0.07157054500817185,-0.09074432396788061,-0.08292747518577927,-0.08540462473682721,0.001432819625966503
NonRing,-0.1317718243910877,0.018042835775545742,-0.461707433740492,-0.06726271734645886,-0.3114422239977089,0.26242611676255256,-0.16059633310504084,0.12564974414485047,0.08005437550408384,-0.5001201345524299,-0.8442276193338242,1,0.20631586169528324,0.11166879172806864,0.1845214777681891,0.12857667106776716,-0.07896315268614806,,0.12253372446939477,0.11300484877450044,0.10234318392135332,0.1031333245443439,0.036088176829844616
TanimotoSimilarity,0.6169843029626354,0.6780708215541359,-0.07561560079889808,0.6422387452619093,-0.032258741224501446,0.06307453174186635,0.02820440211930305,0.09629472092992893,0.11307881344413959,-0.2938420991890255,-0.05616863036980198,0.20631586169528324,1,-0.04153284022791752,-0.02018029129195425,-0.005940503222502545,0.04506164543395696,,0.051491721946951306,-0.0002488983737299112,0.012059501656503737,0.00817157750837847,0.03432156252896951
Synthesis,0.13388352406636347,0.1734577420727818,-0.09363085563829832,0.1364944825213528,-0.11060061782480787,0.0023627203189113743,-0.05838842141047166,0.14228131641100658,-0.2686521142133237,0.008667869792405157,-0.13420595821577053,0.11166879172806864,-0.04153284022791752,1,-0.02526382252456622,0.11216863709284654,-0.0884176815667069,,0.06430044100025656,0.12124608509731934,0.09652145572903245,0.09723967264591811,-0.01976843911164314
SampleValidity,-0.32071766635780347,-0.30358826431768243,-0.10412356392313389,-0.33162283679739823,-0.14784982799028212,-0.02401530129571722,-0.23891627124154813,0.1532667931514434,0.030533738529823273,-0.20909966468909702,-0.08347421547089381,0.1845214777681891,-0.02018029129195425,-0.02526382252456622,1,0.2894552319513966,-0.25344077951151167,,0.17661210656082343,0.21170284437569048,0.1572612437441808,0.13855430754002723,0.04364099692409169
SampleAccuracy,-0.06958940457161364,-0.043259487743576665,-0.0889429142772945,-0.06470989430692733,-0.08533929056705933,0.02338704995976309,-0.2671985937252628,0.6301556062920899,-0.018155370795771293,-0.08044514759792888,-0.09855725385652825,0.12857667106776716,-0.005940503222502545,0.11216863709284654,0.2894552319513966,1,-0.5176357525428252,,0.632428654489053,0.9921057163941951,0.8866646810408415,0.8782998659398359,-0.09063436873374629
SampleCount,0.09222129748091902,0.07217826292066681,0.07429729651823748,0.09182609174101823,0.08295319938764661,-0.007030682095521175,0.4051719283476535,-0.2177708026105999,0.01937801436611286,0.025690076614169468,0.07520501589298663,-0.07896315268614806,0.04506164543395696,-0.0884176815667069,-0.25344077951151167,-0.5176357525428252,1,,-0.13101739427463652,-0.5093981359647736,-0.3450445805056172,-0.3271969569689705,0.25002937202993164
HasValid,,,,,,,,,,,,,,,,,,,,,,,
HasAccurate,-0.037800104405494944,-0.003636841238700196,-0.10658811123347091,-0.02050493759512792,-0.062642824566154,0.0705041795707689,-0.07400375686484993,0.667044560573902,-0.017435550958115918,-0.11278126807146165,-0.07157054500817185,0.12253372446939477,0.051491721946951306,0.06430044100025656,0.17661210656082343,0.632428654489053,-0.13101739427463652,,1,0.6451805538787394,0.5558898907320478,0.5744215223464371,0.5690388598121082
AccuracyOfValid,-0.03540347133911882,-0.010830191835051434,-0.07804727674199713,-0.02981500212925254,-0.07149395576947246,0.024157201237691342,-0.25318697779785315,0.638167688849283,-0.025358288105739604,-0.06404080654572417,-0.09074432396788061,0.11300484877450044,-0.0002488983737299112,0.12124608509731934,0.21170284437569048,0.9921057163941951,-0.5093981359647736,,0.6451805538787394,1,0.8993953310755423,0.8928283940702003,-0.08899583078010372
MaxIsAccurate,-0.01367678566729826,0.006995599266387365,-0.06295258680568513,-0.008380215281143582,-0.05558531062294484,0.021716219622223042,-0.1763146109685149,0.5763610791903576,-0.019718768333279818,-0.05679574359500847,-0.08292747518577927,0.10234318392135332,0.012059501656503737,0.09652145572903245,0.1572612437441808,0.8866646810408415,-0.3450445805056172,,0.5558898907320478,0.8993953310755423,1,0.967738618952348,-0.20561446663620256
MaxHasAccurate,-0.01640927671141486,0.006541121758435693,-0.07009550444166024,-0.01060890019365349,-0.06218473748169167,0.023866776398847843,-0.17187867188030262,0.5895395517252922,-0.027999523171241786,-0.05426646176204967,-0.08540462473682721,0.1031333245443439,0.00817157750837847,0.09723967264591811,0.13855430754002723,0.8782998659398359,-0.3271969569689705,,0.5744215223464371,0.8928283940702003,0.967738618952348,1,-0.19375830379444825
RankOfAccurate,-0.01564127660720679,-0.0004776040973670982,-0.047119199277438115,-0.0029712074826483757,-0.009251637598733728,0.05093499341446037,0.10101955595160148,0.17898797975375136,0.002163476925805691,-0.06958631206199768,0.001432819625966503,0.036088176829844616,0.03432156252896951,-0.01976843911164314,0.04364099692409169,-0.09063436873374629,0.25002937202993164,,0.5690388598121082,-0.08899583078010372,-0.20561446663620256,-0.19375830379444825,1
