,TargetLength,SourceLength,TargetLengthIncrease,SampleLength,SampleLengthIncrease,SampleLengthMinusTargetLength,SampleLengthVariance,MaxAccurateLengthDifference,P2RSimilarity,RingForming,RingOpening,NonRing,TanimotoSimilarity,Synthesis,SampleValidity,SampleAccuracy,SampleCount,HasValid,HasAccurate,AccuracyOfValid,MaxIsAccurate,MaxHasAccurate,RankOfAccurate
TargetLength,1,0.9467008749583107,0.2912503089461861,0.9597320838832342,0.040100807465233125,-0.3059131091319228,0.07752729037304949,-0.018554654765990768,-0.08072354211027784,-0.04487980374162234,0.17824006656209773,-0.13269256167235657,0.624642185260579,0.1472053635906976,-0.12922731199291798,-0.09349498554039223,0.07151981340293366,-0.06591872455059404,-0.11600241293543918,-0.08656071979482775,-0.06560006554685376,-0.07037389287958914,-0.08631737669091047
SourceLength,0.9467008749583107,1,-0.03242246772408789,0.9787270683680196,-0.1270352258423063,-0.051869121810833196,0.0033571924703845357,0.04705582520895042,-0.042288999408254736,-0.030575209213394676,-0.01502013944577615,0.029114835610330476,0.6873688702223812,0.1869003290325278,-0.1063807931426718,-0.03565594998834201,0.042728593350877385,-0.06908132376849158,-0.035569988045952114,-0.0280829282563677,-0.015422648233471366,-0.018336348022401458,-0.036378711720898634
TargetLengthIncrease,0.2912503089461861,-0.03242246772408789,1,0.07119003474610257,0.5017092035534895,-0.7951588961599811,0.23058567541309433,-0.19732362066107426,-0.12487957007139842,-0.04845032486134776,0.597662021717961,-0.49819441848401824,-0.10324140197665899,-0.09831811863396724,-0.08503360263435522,-0.18420705256090616,0.09501615238189047,0.0006282402233390425,-0.2542997115883649,-0.18518213440421563,-0.15774397335545004,-0.16390308304349094,-0.15978941755484816
SampleLength,0.9597320838832342,0.9787270683680196,0.07119003474610257,1,0.07917154872835737,-0.026145002280832667,0.07041476881991754,0.037150125914343766,-0.03783623565652642,-0.03259248957237846,0.03539223610099677,-0.01398768973834665,0.6684738970645396,0.13838476060325103,-0.11391263070106755,-0.04445128887612145,0.04460177377566779,-0.06629131566552499,-0.04192707770725203,-0.03613184204170592,-0.021694776434791174,-0.024001821327531418,-0.038756499924728696
SampleLengthIncrease,0.040100807465233125,-0.1270352258423063,0.5017092035534895,0.07917154872835737,1,0.12562047908777008,0.3241153044555043,-0.04902832617884684,0.022550262446929387,-0.009013154652617738,0.24408695981076706,-0.2090877014968881,-0.10797647586599445,-0.2390742888922263,-0.03384015828269452,-0.04165945302869504,0.00802250947846287,0.01515958803596298,-0.029873574357483095,-0.038233971519346,-0.029950166270557795,-0.02694675308168713,-0.010615683979015572
SampleLengthMinusTargetLength,-0.3059131091319228,-0.051869121810833196,-0.7951588961599811,-0.026145002280832667,0.12562047908777008,1,-0.03724141176545484,0.19193374380035147,0.1590277983241027,0.049247563481907564,-0.5143286297650694,0.42478780449203346,0.042710928057409954,-0.05483658596057109,0.07379954417179614,0.1820565050156169,-0.1033466531386352,0.00990655229383782,0.2707052441857559,0.18557609524724428,0.15991532683491702,0.16908441287584142,0.17581488175909818
SampleLengthVariance,0.07752729037304949,0.0033571924703845357,0.23058567541309433,0.07041476881991754,0.3241153044555043,-0.03724141176545484,1,-0.05719988154803534,0.026905382302668823,0.0258111122345686,0.12774972529998826,-0.12536636980969124,0.0035637415944253918,-0.14275815515145016,-0.20354422588332818,-0.23290469226866106,0.31324159742718416,0.006234780055028057,-0.07774247658382542,-0.22276048451970215,-0.17791138900023898,-0.16762931512148416,0.06971959896389378
MaxAccurateLengthDifference,-0.018554654765990768,0.04705582520895042,-0.19732362066107426,0.037150125914343766,-0.04902832617884684,0.19193374380035147,-0.05719988154803534,1,0.003404101298304162,-0.09050409956968823,-0.2119716020656033,0.2329019698902175,0.08679065072617247,0.12026677542295246,0.17446413157639953,0.6736067988890838,-0.18633824158548015,0.024099821422721487,0.7218330629570896,0.6801529879406777,0.6204351433011204,0.629594131856488,0.29073724294235836
P2RSimilarity,-0.08072354211027784,-0.042288999408254736,-0.12487957007139842,-0.03783623565652642,0.022550262446929387,0.1590277983241027,0.026905382302668823,0.003404101298304162,1,-0.1181786618711129,-0.05123177071203095,0.10655722584961756,0.10250167796734248,-0.25766391594936916,0.046189660564212684,-0.005527789026749191,-0.014346696079988227,-0.0015693998675812178,-0.0006562384883436301,-0.010648116763272462,-0.01607320004057255,-0.018462484739490356,0.018336698868856992
RingForming,-0.04487980374162234,-0.030575209213394676,-0.04845032486134776,-0.03259248957237846,-0.009013154652617738,0.049247563481907564,0.0258111122345686,-0.09050409956968823,-0.1181786618711129,1,-0.043323983096740466,-0.48400925395060995,-0.2925499574082419,0.010212259568844322,-0.26085718380808154,-0.11780168884969995,0.05864466847953545,0.0031349731921903284,-0.125400039954107,-0.1020635730229373,-0.08667838929989478,-0.08055964494404438,-0.06407060050397945
RingOpening,0.17824006656209773,-0.01502013944577615,0.597662021717961,0.03539223610099677,0.24408695981076706,-0.5143286297650694,0.12774972529998826,-0.2119716020656033,-0.05123177071203095,-0.043323983096740466,1,-0.8532720521825268,-0.08727854836805636,-0.1062997623161492,-0.0989172051369271,-0.20037443916319148,0.07551242929517768,0.005526722862018583,-0.263601970160247,-0.19947156688241563,-0.17892246590630947,-0.1835399185258042,-0.15860840589964892
NonRing,-0.13269256167235657,0.029114835610330476,-0.49819441848401824,-0.01398768973834665,-0.2090877014968881,0.42478780449203346,-0.12536636980969124,0.2329019698902175,0.10655722584961756,-0.48400925395060995,-0.8532720521825268,1,0.22914422746798452,0.08777604482234254,0.22279611921386946,0.23699232877696627,-0.09675016646273263,-0.006477093498939972,0.2963383974319196,0.22798691080539568,0.20195786558774956,0.2028085084227344,0.1723648065710506
TanimotoSimilarity,0.624642185260579,0.6873688702223812,-0.10324140197665899,0.6684738970645396,-0.10797647586599445,0.042710928057409954,0.0035637415944253918,0.08679065072617247,0.10250167796734248,-0.2925499574082419,-0.08727854836805636,0.22914422746798452,1,-0.02431123332475868,0.11819570940986902,0.01968344536345503,0.004761026331036117,-0.014217717165350792,0.051871905490780176,0.010728525590034909,0.005880811460765995,0.005334611400365679,0.04814997756648441
Synthesis,0.1472053635906976,0.1869003290325278,-0.09831811863396724,0.13838476060325103,-0.2390742888922263,-0.05483658596057109,-0.14275815515145016,0.12026677542295246,-0.25766391594936916,0.010212259568844322,-0.1062997623161492,0.08777604482234254,-0.02431123332475868,1,0.021519825765256528,0.05570580030962985,0.01271817351278787,-0.012713347134053017,0.03383057552419165,0.05963590879162742,0.059735385721849846,0.06009277030862629,-0.004418609992926789
SampleValidity,-0.12922731199291798,-0.1063807931426718,-0.08503360263435522,-0.11391263070106755,-0.03384015828269452,0.07379954417179614,-0.20354422588332818,0.17446413157639953,0.046189660564212684,-0.26085718380808154,-0.0989172051369271,0.22279611921386946,0.11819570940986902,0.021519825765256528,1,0.2816510089181375,-0.23669513820324045,0.16024549760435447,0.17677468088481252,0.21228552512864385,0.17233884086236045,0.15909094965070925,0.047652252491448756
SampleAccuracy,-0.09349498554039223,-0.03565594998834201,-0.18420705256090616,-0.04445128887612145,-0.04165945302869504,0.1820565050156169,-0.23290469226866106,0.6736067988890838,-0.005527789026749191,-0.11780168884969995,-0.20037443916319148,0.23699232877696627,0.01968344536345503,0.05570580030962985,0.2816510089181375,1,-0.4622243337402892,0.023237009938258432,0.6959903048029932,0.9923709088106207,0.9109643356939274,0.9054128183124116,0.02826976771255571
